number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
89,3.670715574025947,2025-10-24 02:07:03.749237,2025-10-24 02:08:25.481634,0 days 00:01:21.732397,0.9549232066965292,2.772614739312271,0.026335249998463425,10,4,399,0.00010170431020433897,0.002060339903719639,0.6261338151604694,COMPLETE
90,3.677234384968247,2025-10-24 02:08:25.486578,2025-10-24 02:09:50.739435,0 days 00:01:25.252857,0.9516705958213565,2.838372921916634,0.02650858922934915,10,4,412,0.0007515597500241491,0.0013228527434207661,0.6590703679982162,COMPLETE
91,3.6741950419174474,2025-10-24 02:09:50.744197,2025-10-24 02:11:15.609795,0 days 00:01:24.865598,0.9994409100636557,2.5101684245338864,0.019923498161313995,10,4,397,0.00022573089166425547,0.003386591495822497,0.628493941005396,COMPLETE
92,3.6766461702203097,2025-10-24 02:11:15.615239,2025-10-24 02:12:41.349549,0 days 00:01:25.734310,0.9738965590829536,2.48657902723356,0.01944695999842925,10,4,397,9.698794645011747e-05,0.004362774215173481,0.6247879231127208,COMPLETE
93,3.684147969066698,2025-10-24 02:12:41.355199,2025-10-24 02:14:11.325825,0 days 00:01:29.970626,0.9571734698507154,2.7215888473372045,0.015750071155683172,10,4,424,0.00021506904002839956,0.0017510512973132825,0.5978445734820054,COMPLETE
94,3.707894592590288,2025-10-24 02:14:11.331017,2025-10-24 02:15:49.248519,0 days 00:01:37.917502,0.937117275781924,2.1660916494263494,0.01075351317309322,10,4,380,6.122231612463553e-05,0.0009908751268765438,0.6687958722577944,COMPLETE
95,3.677730766346415,2025-10-24 02:15:49.253103,2025-10-24 02:17:11.133175,0 days 00:01:21.880072,0.9995534801234836,2.57684152440981,0.02548335345132752,10,3,355,0.00012589360906219347,0.012173163855007314,0.6186484817063482,COMPLETE
96,3.6814841399392626,2025-10-24 02:17:11.137902,2025-10-24 02:19:10.195555,0 days 00:01:59.057653,0.9724256317678843,2.7663782569537423,0.021938042852650975,11,3,389,0.00020825332042293047,0.0026701488970431956,0.6579257916133198,COMPLETE
97,3.6760442380699834,2025-10-24 02:19:10.199978,2025-10-24 02:20:29.516830,0 days 00:01:19.316852,0.9611131219275302,2.450014495084619,0.028015411097650402,10,4,403,4.768002358909587e-05,0.003031746912976421,0.5810049152061302,COMPLETE
98,3.7055115413501305,2025-10-24 02:20:29.518196,2025-10-24 02:21:05.895881,0 days 00:00:36.377685,0.7084821459396622,2.86659646161231,0.014412868028594353,11,4,426,0.0005111923480439429,0.0058746202996449995,0.6783709713850068,COMPLETE
99,3.6798078787860775,2025-10-24 02:21:05.897631,2025-10-24 02:21:28.850361,0 days 00:00:22.952730,0.9518198172601513,2.3030585672114645,0.019689548856718614,9,3,411,0.0010428893059497121,0.0008288898352044132,0.6494535216251156,COMPLETE
